crop_filename,source_video,cam_position,frame_index,timestamp_ms,crop_index,x,y,width,height,original_frame_width,original_frame_height,notes
T_frame_000013_crop_01.jpg,extrait-cam-1-t-conforme.avi,T,13,520.0,1,270,376,177,126,720,576,
T_frame_000040_crop_01.jpg,extrait-cam-1-t-conforme.avi,T,40,1600.0,1,217,266,246,233,720,576,
T_frame_000067_crop_01.jpg,extrait-cam-1-t-conforme.avi,T,67,2680.0,1,231,272,261,171,720,576,
T_frame_000120_crop_01.jpg,extrait-cam-1-t-conforme.avi,T,120,4800.0,1,291,237,215,218,720,576,
T_frame_000147_crop_01.jpg,extrait-cam-1-t-conforme.avi,T,147,5880.0,1,295,237,194,207,720,576,
T_frame_000173_crop_01.jpg,extrait-cam-1-t-conforme.avi,T,173,6920.0,1,280,248,204,213,720,576,
T_frame_000200_crop_01.jpg,extrait-cam-1-t-conforme.avi,T,200,8000.0,1,265,356,166,112,720,576,
T_frame_000227_crop_01.jpg,extrait-cam-1-t-conforme.avi,T,227,9080.0,1,236,198,229,239,720,576,
T_frame_000279_crop_01.jpg,extrait-cam-1-t-conforme.avi,T,279,11160.0,1,311,272,201,232,720,576,
T_frame_000307_crop_01.jpg,extrait-cam-1-t-conforme.avi,T,307,12280.0,1,239,234,223,203,720,576,
T_frame_000335_crop_01.jpg,extrait-cam-1-t-conforme.avi,T,335,13400.0,1,223,145,229,241,720,576,
T_frame_000360_crop_01.jpg,extrait-cam-1-t-conforme.avi,T,360,14400.0,1,289,230,170,217,720,576,
T_frame_000387_crop_01.jpg,extrait-cam-1-t-conforme.avi,T,387,15480.0,1,257,244,244,196,720,576,
T_frame_000415_crop_01.jpg,extrait-cam-1-t-conforme.avi,T,415,16600.0,1,267,166,194,218,720,576,
T_frame_000441_crop_01.jpg,extrait-cam-1-t-conforme.avi,T,441,17640.0,1,229,196,221,191,720,576,
T_frame_000467_crop_01.jpg,extrait-cam-1-t-conforme.avi,T,467,18680.0,1,219,178,291,275,720,576,
T_frame_000494_crop_01.jpg,extrait-cam-1-t-conforme.avi,T,494,19760.0,1,300,236,197,188,720,576,
T_frame_000522_crop_01.jpg,extrait-cam-1-t-conforme.avi,T,522,20880.0,1,286,219,221,136,720,576,
T_frame_000547_crop_01.jpg,extrait-cam-1-t-conforme.avi,T,547,21880.0,1,293,241,212,196,720,576,
T_frame_000569_crop_01.jpg,extrait-cam-1-t-conforme.avi,T,569,22760.0,1,280,171,246,225,720,576,
T_frame_000573_crop_01.jpg,extrait-cam-1-t-conforme.avi,T,573,22920.0,1,233,266,278,256,720,576,
T_frame_000600_crop_01.jpg,extrait-cam-1-t-conforme.avi,T,600,24000.0,1,262,239,212,196,720,576,
T_frame_000629_crop_01.jpg,extrait-cam-1-t-conforme.avi,T,629,25160.0,1,229,165,269,196,720,576,
T_frame_000655_crop_01.jpg,extrait-cam-1-t-conforme.avi,T,655,26200.0,1,244,150,258,226,720,576,
