filename,year,batch_num,cam_position,cam_num,sample_num,label_filename,label_principal,effective_label,effective_label_source,adjudication_status,multiple,chunk,mixed_quality,reviewed,labeled_by,labeled_by_canonical,masked_covered,masked_label,hot_frac,max_blob,masked_disagreement,historical_pair_id,historical_pairing_status,split_group_id,split
2025_Conforme_1_Cam_B_1_0.jpg,2025,1.0,B,1,0,Conforme,Vide,Vide,principal,not_required,False,False,False,True,NicoG,Nico,False,,,,False,hist_dbbf11348472783b98a688ec,heuristic_pair,hist_dbbf11348472783b98a688ec,train
2025_Conforme_1_Cam_B_1_101.jpg,2025,1.0,B,1,101,Conforme,Vide,Vide,principal,not_required,False,False,False,True,NicoG,Nico,False,,,,False,hist_50a3509612cd1bc77d0c251e,heuristic_pair,hist_50a3509612cd1bc77d0c251e,train
2025_Conforme_1_Cam_B_1_102.jpg,2025,1.0,B,1,102,Conforme,Conforme,Conforme,principal,not_required,False,False,False,True,NicoG,Nico,False,,,,False,hist_c0dbc58f667383c7af744b35,heuristic_pair,hist_c0dbc58f667383c7af744b35,train
2025_Conforme_1_Cam_B_1_103.jpg,2025,1.0,B,1,103,Conforme,Conforme,Conforme,principal,not_required,True,False,False,True,NicoG,Nico,False,,,,False,hist_1d8a33c6ee6017198ee4eaa1,heuristic_pair,hist_1d8a33c6ee6017198ee4eaa1,train
2025_Conforme_1_Cam_B_1_105.jpg,2025,1.0,B,1,105,Conforme,Conforme,Conforme,principal,not_required,False,False,False,True,NicoG,Nico,False,,,,False,hist_b815ac3537c119f28167b9d2,heuristic_pair,hist_b815ac3537c119f28167b9d2,train
2025_Conforme_1_Cam_B_1_106.jpg,2025,1.0,B,1,106,Conforme,Vide,Vide,principal,not_required,False,False,False,True,NicoG,Nico,False,,,,False,hist_3ba210cc2dec2a7ecf6bc446,heuristic_pair,hist_3ba210cc2dec2a7ecf6bc446,train
2025_Conforme_1_Cam_B_1_107.jpg,2025,1.0,B,1,107,Conforme,Conforme,Conforme,principal,not_required,False,False,False,True,NicoG,Nico,False,,,,False,hist_5eb9bc3fa4a91b2704fc081e,heuristic_pair,hist_5eb9bc3fa4a91b2704fc081e,train
2025_Conforme_1_Cam_B_1_108.jpg,2025,1.0,B,1,108,Conforme,Vide,Vide,principal,not_required,False,False,False,True,NicoG,Nico,False,,,,False,hist_b55f6faa7b8652b4cc9ea1f7,heuristic_pair,hist_b55f6faa7b8652b4cc9ea1f7,train
2025_Conforme_1_Cam_B_1_109.jpg,2025,1.0,B,1,109,Conforme,Vide,Vide,principal,not_required,False,False,False,True,NicoG,Nico,False,,,,False,hist_27ae1bbc7b9fd4a0b6f7bdf4,heuristic_pair,hist_27ae1bbc7b9fd4a0b6f7bdf4,train
2025_Conforme_1_Cam_B_1_11.jpg,2025,1.0,B,1,11,Conforme,Vide,Vide,principal,not_required,False,False,False,True,NicoG,Nico,False,,,,False,hist_e19128375e42183c9acb3f56,heuristic_pair,hist_e19128375e42183c9acb3f56,train
2025_Conforme_1_Cam_B_1_110.jpg,2025,1.0,B,1,110,Conforme,Vide,Vide,principal,not_required,False,False,False,True,NicoG,Nico,False,,,,False,hist_b1c843f4e971ea046dd3423f,heuristic_pair,hist_b1c843f4e971ea046dd3423f,train
2025_Conforme_1_Cam_B_1_112.jpg,2025,1.0,B,1,112,Conforme,Conforme,Conforme,principal,not_required,False,False,False,True,NicoG,Nico,False,,,,False,hist_17be6d517789524b41cb2c2c,heuristic_pair,hist_17be6d517789524b41cb2c2c,train
2025_Conforme_1_Cam_B_1_113.jpg,2025,1.0,B,1,113,Conforme,Conforme,Conforme,principal,not_required,False,False,False,True,NicoG,Nico,False,,,,False,hist_7c3c83858cd4268149a03129,heuristic_pair,hist_7c3c83858cd4268149a03129,train
2025_Conforme_1_Cam_B_1_114.jpg,2025,1.0,B,1,114,Conforme,Conforme,Conforme,principal,not_required,False,False,False,True,NicoG,Nico,False,,,,False,hist_001d6a42bc094109d54e6c9b,heuristic_pair,hist_001d6a42bc094109d54e6c9b,train
2025_Conforme_1_Cam_B_1_115.jpg,2025,1.0,B,1,115,Conforme,Vide,Vide,principal,not_required,False,False,False,True,NicoG,Nico,False,,,,False,hist_4378ad807df08e3a228aeff0,heuristic_pair,hist_4378ad807df08e3a228aeff0,train
2025_Conforme_1_Cam_B_1_118.jpg,2025,1.0,B,1,118,Conforme,Conforme,Conforme,principal,not_required,True,False,False,True,NicoG,Nico,False,,,,False,hist_6bfa20ee6e1a1abd580337e3,heuristic_pair,hist_6bfa20ee6e1a1abd580337e3,train
