filename,year,cam_position,cam_num,sample_num,batch_num,label_filename,label_principal,multiple,chunk,mixed_quality,reviewed,labeled_by,labeled_by_canonical,masked_label,hot_frac,max_blob,masked_covered,masked_disagreement
2025_Conforme_1_Cam_B_1_0.jpg,2025,B,1,0,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_1.jpg,2025,B,1,1,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_10.jpg,2025,B,1,10,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_101.jpg,2025,B,1,101,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_106.jpg,2025,B,1,106,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_108.jpg,2025,B,1,108,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_109.jpg,2025,B,1,109,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_11.jpg,2025,B,1,11,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_110.jpg,2025,B,1,110,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_111.jpg,2025,B,1,111,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_115.jpg,2025,B,1,115,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_116.jpg,2025,B,1,116,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_12.jpg,2025,B,1,12,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_129.jpg,2025,B,1,129,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_13.jpg,2025,B,1,13,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_132.jpg,2025,B,1,132,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_14.jpg,2025,B,1,14,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_148.jpg,2025,B,1,148,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_15.jpg,2025,B,1,15,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_151.jpg,2025,B,1,151,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_152.jpg,2025,B,1,152,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_154.jpg,2025,B,1,154,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_155.jpg,2025,B,1,155,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_156.jpg,2025,B,1,156,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_16.jpg,2025,B,1,16,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_17.jpg,2025,B,1,17,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_18.jpg,2025,B,1,18,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_188.jpg,2025,B,1,188,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_19.jpg,2025,B,1,19,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_2.jpg,2025,B,1,2,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_20.jpg,2025,B,1,20,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_21.jpg,2025,B,1,21,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_210.jpg,2025,B,1,210,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_211.jpg,2025,B,1,211,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_213.jpg,2025,B,1,213,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_218.jpg,2025,B,1,218,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_226.jpg,2025,B,1,226,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_228.jpg,2025,B,1,228,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_23.jpg,2025,B,1,23,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_234.jpg,2025,B,1,234,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_238.jpg,2025,B,1,238,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_24.jpg,2025,B,1,24,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_241.jpg,2025,B,1,241,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_246.jpg,2025,B,1,246,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_248.jpg,2025,B,1,248,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_25.jpg,2025,B,1,25,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_256.jpg,2025,B,1,256,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_257.jpg,2025,B,1,257,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_258.jpg,2025,B,1,258,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_259.jpg,2025,B,1,259,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_26.jpg,2025,B,1,26,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_264.jpg,2025,B,1,264,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_27.jpg,2025,B,1,27,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_270.jpg,2025,B,1,270,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_276.jpg,2025,B,1,276,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_277.jpg,2025,B,1,277,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_279.jpg,2025,B,1,279,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_28.jpg,2025,B,1,28,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_29.jpg,2025,B,1,29,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_3.jpg,2025,B,1,3,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_30.jpg,2025,B,1,30,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_31.jpg,2025,B,1,31,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_321.jpg,2025,B,1,321,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_323.jpg,2025,B,1,323,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_33.jpg,2025,B,1,33,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_34.jpg,2025,B,1,34,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_341.jpg,2025,B,1,341,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_35.jpg,2025,B,1,35,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_354.jpg,2025,B,1,354,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_355.jpg,2025,B,1,355,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_36.jpg,2025,B,1,36,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_363.jpg,2025,B,1,363,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_366.jpg,2025,B,1,366,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_37.jpg,2025,B,1,37,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
2025_Conforme_1_Cam_B_1_373.jpg,2025,B,1,373,1,Conforme,Vide,False,False,False,True,NicoG,Nico,,,,False,False
