filename,label_principal_before,masked_label,human_review,review_status,notes,reviewed_at_utc
2025_Conforme_1_Cam_T_3_239.jpg,Vide,chunks,Vide,reviewed,,2026-09-01T21:50:28.712988+00:00
2025_Conforme_1_Cam_T_3_262.jpg,Vide,chunks,Vide,reviewed,,2026-09-01T21:50:30.991630+00:00
2025_Conforme_1_Cam_T_3_265.jpg,Conforme,vide,Vide,reviewed,,2026-09-01T21:50:31.465528+00:00
2025_Conforme_1_Cam_T_3_309.jpg,Vide,chunks,Vide,reviewed,,2026-09-01T21:50:34.505624+00:00
2025_Conforme_1_Cam_T_3_429.jpg,Vide,chataigne,NonVide,reviewed,,2026-09-01T21:50:40.947402+00:00
2025_Conforme_1_Cam_T_3_49.jpg,Vide,chunks,NonVide,reviewed,,2026-09-01T21:50:49.315053+00:00
2025_Conforme_1_Cam_T_3_89.jpg,Vide,chunks,Vide,reviewed,,2026-09-01T21:50:51.685648+00:00
2025_Conforme_1_Cam_T_4_180.jpg,Vide,chunks,Vide,reviewed,,2026-09-01T21:50:55.478035+00:00
2025_Conforme_1_Cam_T_4_285.jpg,Vide,chunks,NonVide,reviewed,,2026-09-01T21:05:57.879917+00:00
2025_Conforme_1_Cam_T_4_365.jpg,Vide,chunks,Vide,reviewed,,2026-09-01T21:06:02.093441+00:00
2025_Conforme_1_Cam_T_4_39.jpg,Conforme,vide,Vide,reviewed,,2026-09-01T21:06:02.585574+00:00
2025_Conforme_1_Cam_T_4_439.jpg,Vide,chunks,Vide,reviewed,,2026-09-01T21:06:05.179847+00:00
2025_Conforme_1_Cam_T_4_450.jpg,Vide,chunks,Vide,reviewed,,2026-09-01T21:06:06.705739+00:00
2025_Conforme_1_Cam_T_4_463.jpg,Vide,chunks,Vide,reviewed,,2026-09-01T21:06:07.462891+00:00
2025_Conforme_1_Cam_T_4_487.jpg,Vide,chunks,NonVide,reviewed,,2026-09-01T21:06:08.463247+00:00
2025_Conforme_1_Cam_T_5_148.jpg,Vide,chunks,NonVide,reviewed,,2026-09-01T21:06:09.623363+00:00
2025_Conforme_1_Cam_T_5_169.jpg,Vide,chunks,Vide,reviewed,,2026-09-01T21:06:10.376913+00:00
2025_Conforme_1_Cam_T_5_177.jpg,Vide,chunks,Vide,reviewed,,2026-09-01T21:06:15.423717+00:00
2025_Conforme_1_Cam_T_5_324.jpg,Vide,chunks,Vide,reviewed,,2026-09-01T21:06:19.855343+00:00
2025_Conforme_1_Cam_T_5_94.jpg,Vide,chunks,Vide,reviewed,,2026-09-01T21:06:20.294641+00:00
2025_Conforme_1_Cam_T_6_496.jpg,Vide,chunks,Vide,reviewed,,2026-09-01T21:06:21.064141+00:00
2025_Conforme_2_Cam_B_1_100.jpg,Vide,chunks,NonVide,reviewed,,2026-09-01T21:06:22.330908+00:00
2025_Conforme_2_Cam_B_1_17.jpg,Conforme,vide,Vide,reviewed,,2026-09-01T21:06:23.199332+00:00
2025_Conforme_2_Cam_B_1_25.jpg,Conforme,vide,Vide,reviewed,,2026-09-01T21:06:23.776058+00:00
2025_Conforme_2_Cam_B_1_254.jpg,Vide,chunks,Vide,reviewed,,2026-09-01T21:06:24.983573+00:00
2025_Conforme_2_Cam_B_1_470.jpg,Vide,chunks,Vide,reviewed,,2026-09-01T21:06:25.740498+00:00
2025_Conforme_2_Cam_B_2_382.jpg,Conforme,vide,Vide,reviewed,,2026-09-01T21:06:26.463468+00:00
2025_Conforme_2_Cam_B_3_365.jpg,Vide,chunks,Vide,reviewed,,2026-09-01T21:06:28.075125+00:00
2025_Conforme_2_Cam_B_3_85.jpg,Vide,chunks,Vide,reviewed,,2026-09-01T21:06:28.525763+00:00
2025_Conforme_2_Cam_B_4_32.jpg,Conforme,vide,Vide,reviewed,,2026-09-01T21:06:29.247545+00:00
2025_Conforme_2_Cam_B_4_339.jpg,Vide,chunks,NonVide,reviewed,,2026-09-01T21:06:30.216690+00:00
2025_Conforme_2_Cam_B_4_394.jpg,Vide,chunks,Vide,reviewed,,2026-09-01T21:06:31.018140+00:00
2025_Conforme_2_Cam_B_4_424.jpg,Vide,chataigne,Vide,reviewed,,2026-09-01T21:06:32.023170+00:00
2025_Conforme_2_Cam_B_4_439.jpg,Vide,chunks,Vide,reviewed,,2026-09-01T21:06:33.101325+00:00
2025_Conforme_2_Cam_B_4_491.jpg,Vide,chataigne,Vide,reviewed,,2026-09-01T21:06:33.600712+00:00
2025_Conforme_2_Cam_B_5_145.jpg,Vide,chunks,NonVide,reviewed,,2026-09-01T21:06:35.444077+00:00
2025_Conforme_2_Cam_B_5_436.jpg,Vide,chunks,NonVide,reviewed,,2026-09-01T21:06:36.431432+00:00
2025_Conforme_2_Cam_B_6_136.jpg,Conforme,vide,NonVide,reviewed,,2026-09-01T21:06:39.042239+00:00
2025_Conforme_2_Cam_B_6_206.jpg,Conforme,vide,NonVide,reviewed,,2026-09-01T21:06:39.615737+00:00
2025_Conforme_2_Cam_B_6_264.jpg,Conforme,vide,NonVide,reviewed,,2026-09-01T21:06:40.115669+00:00
2025_Conforme_2_Cam_B_6_433.jpg,Conforme,vide,NonVide,reviewed,,2026-09-01T21:06:44.254104+00:00
2025_Conforme_2_Cam_B_6_512.jpg,Conforme,vide,NonVide,reviewed,,2026-09-01T21:06:46.229641+00:00
2025_Conforme_2_Cam_T_1_144.jpg,Vide,chunks,Vide,reviewed,,2026-09-01T21:06:47.500266+00:00
2025_Conforme_2_Cam_T_2_10.jpg,Vide,chataigne,Vide,reviewed,,2026-09-01T21:06:48.090352+00:00
2025_Conforme_2_Cam_T_2_22.jpg,Conforme,vide,Vide,reviewed,,2026-09-01T21:06:48.649626+00:00
2025_Conforme_2_Cam_T_2_33.jpg,Vide,chataigne,Vide,reviewed,,2026-09-01T21:06:49.214217+00:00
2025_Conforme_2_Cam_T_3_121.jpg,Vide,chunks,Vide,reviewed,,2026-09-01T21:06:49.851064+00:00
2025_Conforme_2_Cam_T_3_217.jpg,Vide,chunks,Vide,reviewed,,2026-09-01T21:06:51.993117+00:00
2025_Conforme_2_Cam_T_4_141.jpg,Vide,chunks,Vide,reviewed,,2026-09-01T21:06:52.655581+00:00
2025_Conforme_2_Cam_T_4_168.jpg,Vide,chunks,Vide,reviewed,,2026-09-01T21:06:57.055544+00:00
2025_Conforme_2_Cam_T_4_232.jpg,Vide,chunks,Vide,reviewed,,2026-09-01T21:06:57.559171+00:00
2025_Conforme_2_Cam_T_4_31.jpg,Vide,chataigne,Vide,reviewed,,2026-09-01T21:06:58.068461+00:00
2025_Conforme_2_Cam_T_4_61.jpg,Vide,chunks,Vide,reviewed,,2026-09-01T21:06:59.090512+00:00
2025_Conforme_2_Cam_T_6_0.jpg,Vide,chataigne,Vide,reviewed,,2026-09-01T21:07:10.073364+00:00
2025_Conforme_2_Cam_T_6_2.jpg,Vide,chataigne,Vide,reviewed,,2026-09-01T21:07:10.593643+00:00
2025_Conforme_2_Cam_T_6_36.jpg,Vide,chataigne,Vide,reviewed,,2026-09-01T21:07:11.159900+00:00
2025_Conforme_2_Cam_T_6_38.jpg,Vide,chataigne,Vide,reviewed,,2026-09-01T21:07:11.711510+00:00
2025_Conforme_2_Cam_T_6_4.jpg,Vide,chataigne,Vide,reviewed,,2026-09-01T21:07:12.260230+00:00
2025_Conforme_2_Cam_T_6_41.jpg,Vide,chataigne,Vide,reviewed,,2026-09-01T21:07:14.771162+00:00
