filename,year,batch_num,cam_position,cam_num,sample_num,label_filename,label_principal,multiple,chunk,mixed_quality,group_top_count,group_bottom_count,unpaired_reason,pairing_method,pairing_status
2025_Conforme_1_Cam_B_1_372.jpg,2025,1,B,1,372,Conforme,Conforme,False,False,False,0,1,bottom_only,historical_namespace,unpaired
2025_Conforme_1_Cam_B_1_373.jpg,2025,1,B,1,373,Conforme,Vide,False,False,False,0,1,bottom_only,historical_namespace,unpaired
2025_Conforme_1_Cam_B_1_374.jpg,2025,1,B,1,374,Conforme,Vide,False,False,False,0,1,bottom_only,historical_namespace,unpaired
2025_Conforme_1_Cam_B_1_375.jpg,2025,1,B,1,375,Conforme,Vide,False,False,False,0,1,bottom_only,historical_namespace,unpaired
2025_Conforme_1_Cam_B_1_376.jpg,2025,1,B,1,376,Conforme,Conforme,False,False,False,0,1,bottom_only,historical_namespace,unpaired
2025_Conforme_1_Cam_B_1_377.jpg,2025,1,B,1,377,Conforme,Conforme,False,False,False,0,1,bottom_only,historical_namespace,unpaired
2025_Conforme_1_Cam_B_1_378.jpg,2025,1,B,1,378,Conforme,Conforme,False,False,False,0,1,bottom_only,historical_namespace,unpaired
2025_Conforme_1_Cam_B_1_379.jpg,2025,1,B,1,379,Conforme,Vide,False,False,False,0,1,bottom_only,historical_namespace,unpaired
2025_Conforme_1_Cam_B_1_380.jpg,2025,1,B,1,380,Conforme,Conforme,False,False,False,0,1,bottom_only,historical_namespace,unpaired
2025_Conforme_1_Cam_B_1_381.jpg,2025,1,B,1,381,Conforme,Conforme,False,False,False,0,1,bottom_only,historical_namespace,unpaired
2025_Conforme_1_Cam_B_1_382.jpg,2025,1,B,1,382,Conforme,Vide,False,False,False,0,1,bottom_only,historical_namespace,unpaired
2025_Conforme_1_Cam_B_1_383.jpg,2025,1,B,1,383,Conforme,Vide,False,False,False,0,1,bottom_only,historical_namespace,unpaired
2025_Conforme_1_Cam_B_1_384.jpg,2025,1,B,1,384,Conforme,Vide,False,False,False,0,1,bottom_only,historical_namespace,unpaired
2025_Conforme_1_Cam_B_1_385.jpg,2025,1,B,1,385,Conforme,Conforme,False,False,False,0,1,bottom_only,historical_namespace,unpaired
2025_Conforme_1_Cam_B_1_386.jpg,2025,1,B,1,386,Conforme,Vide,False,False,False,0,1,bottom_only,historical_namespace,unpaired
2025_Conforme_1_Cam_B_1_387.jpg,2025,1,B,1,387,Conforme,Conforme,False,False,False,0,1,bottom_only,historical_namespace,unpaired
2025_Conforme_1_Cam_B_1_388.jpg,2025,1,B,1,388,Conforme,Conforme,False,False,False,0,1,bottom_only,historical_namespace,unpaired
2025_Conforme_1_Cam_B_1_389.jpg,2025,1,B,1,389,Conforme,Conforme,False,False,False,0,1,bottom_only,historical_namespace,unpaired
2025_Conforme_1_Cam_B_1_390.jpg,2025,1,B,1,390,Conforme,Vide,False,False,False,0,1,bottom_only,historical_namespace,unpaired
2025_Conforme_1_Cam_B_1_391.jpg,2025,1,B,1,391,Conforme,Conforme,False,False,False,0,1,bottom_only,historical_namespace,unpaired
2025_Conforme_1_Cam_B_1_392.jpg,2025,1,B,1,392,Conforme,Conforme,False,False,False,0,1,bottom_only,historical_namespace,unpaired
2025_Conforme_1_Cam_B_1_393.jpg,2025,1,B,1,393,Conforme,Conforme,False,False,False,0,1,bottom_only,historical_namespace,unpaired
2025_Conforme_1_Cam_B_1_394.jpg,2025,1,B,1,394,Conforme,Conforme,False,False,False,0,1,bottom_only,historical_namespace,unpaired
2025_Conforme_1_Cam_B_1_395.jpg,2025,1,B,1,395,Conforme,Conforme,False,False,False,0,1,bottom_only,historical_namespace,unpaired
2025_Conforme_1_Cam_B_1_396.jpg,2025,1,B,1,396,Conforme,Conforme,False,False,False,0,1,bottom_only,historical_namespace,unpaired
2025_Conforme_1_Cam_B_1_397.jpg,2025,1,B,1,397,Conforme,Conforme,False,False,False,0,1,bottom_only,historical_namespace,unpaired
2025_Conforme_1_Cam_B_1_398.jpg,2025,1,B,1,398,Conforme,Conforme,False,False,False,0,1,bottom_only,historical_namespace,unpaired
2025_Conforme_1_Cam_B_1_399.jpg,2025,1,B,1,399,Conforme,Conforme,False,False,False,0,1,bottom_only,historical_namespace,unpaired
2025_Conforme_1_Cam_B_1_400.jpg,2025,1,B,1,400,Conforme,Vide,False,False,False,0,1,bottom_only,historical_namespace,unpaired
2025_Conforme_1_Cam_B_1_401.jpg,2025,1,B,1,401,Conforme,Conforme,False,False,False,0,1,bottom_only,historical_namespace,unpaired
