filename,label,hot_frac,max_blob
2025_Conforme_1_Cam_T_3_0.jpg,vide,0.0,2
2025_Conforme_1_Cam_T_3_1.jpg,vide,0.0,0
2025_Conforme_1_Cam_T_3_10.jpg,vide,0.0,0
2025_Conforme_1_Cam_T_3_100.jpg,chataigne,0.0488,1848
2025_Conforme_1_Cam_T_3_101.jpg,chunks,0.0006,10
2025_Conforme_1_Cam_T_3_102.jpg,chunks,0.0029,36
2025_Conforme_1_Cam_T_3_103.jpg,chataigne,0.0334,1279
2025_Conforme_1_Cam_T_3_104.jpg,vide,0.0001,5
2025_Conforme_1_Cam_T_3_105.jpg,vide,0.0004,5
2025_Conforme_1_Cam_T_3_106.jpg,vide,0.0003,4
2025_Conforme_1_Cam_T_3_107.jpg,chataigne,0.1501,8573
2025_Conforme_1_Cam_T_3_108.jpg,chataigne,0.0443,745
2025_Conforme_1_Cam_T_3_109.jpg,multiple,0.3652,11763
2025_Conforme_1_Cam_T_3_11.jpg,vide,0.0,0
2025_Conforme_1_Cam_T_3_110.jpg,vide,0.0005,5
2025_Conforme_1_Cam_T_3_111.jpg,chataigne,0.2385,12901
2025_Conforme_1_Cam_T_3_112.jpg,chataigne,0.1973,10157
2025_Conforme_1_Cam_T_3_113.jpg,chataigne,0.0423,563
2025_Conforme_1_Cam_T_3_114.jpg,chataigne,0.0205,362
2025_Conforme_1_Cam_T_3_115.jpg,chataigne,0.1833,10580
2025_Conforme_1_Cam_T_3_116.jpg,vide,0.0004,6
2025_Conforme_1_Cam_T_3_117.jpg,chataigne,0.068,1660
2025_Conforme_1_Cam_T_3_118.jpg,vide,0.0,0
2025_Conforme_1_Cam_T_3_119.jpg,chataigne,0.0379,722
2025_Conforme_1_Cam_T_3_12.jpg,vide,0.0,1
2025_Conforme_1_Cam_T_3_120.jpg,chataigne,0.3264,16461
2025_Conforme_1_Cam_T_3_121.jpg,vide,0.0001,2
2025_Conforme_1_Cam_T_3_122.jpg,vide,0.0,2
2025_Conforme_1_Cam_T_3_123.jpg,chataigne,0.1145,5486
2025_Conforme_1_Cam_T_3_124.jpg,chataigne,0.0221,941
2025_Conforme_1_Cam_T_3_125.jpg,chataigne,0.0092,196
2025_Conforme_1_Cam_T_3_126.jpg,chunks,0.0035,21
2025_Conforme_1_Cam_T_3_127.jpg,chataigne,0.0422,474
2025_Conforme_1_Cam_T_3_128.jpg,chataigne,0.2508,13968
2025_Conforme_1_Cam_T_3_129.jpg,chataigne,0.0054,52
2025_Conforme_1_Cam_T_3_13.jpg,vide,0.0001,3
2025_Conforme_1_Cam_T_3_130.jpg,chataigne,0.0728,2316
2025_Conforme_1_Cam_T_3_131.jpg,chataigne,0.1372,6467
2025_Conforme_1_Cam_T_3_132.jpg,chataigne,0.0113,505
2025_Conforme_1_Cam_T_3_133.jpg,multiple,0.2875,17007
2025_Conforme_1_Cam_T_3_134.jpg,chataigne,0.0043,111
2025_Conforme_1_Cam_T_3_135.jpg,multiple,0.1694,3884
2025_Conforme_1_Cam_T_3_136.jpg,chataigne,0.288,17019
2025_Conforme_1_Cam_T_3_137.jpg,chataigne,0.202,12085
2025_Conforme_1_Cam_T_3_138.jpg,chataigne,0.0797,3898
2025_Conforme_1_Cam_T_3_139.jpg,chataigne,0.0496,667
2025_Conforme_1_Cam_T_3_14.jpg,vide,0.0,0
2025_Conforme_1_Cam_T_3_140.jpg,chunks,0.0249,1129
2025_Conforme_1_Cam_T_3_141.jpg,chataigne,0.1812,9379
2025_Conforme_1_Cam_T_3_142.jpg,chataigne,0.0899,967
2025_Conforme_1_Cam_T_3_143.jpg,chataigne,0.0062,72
2025_Conforme_1_Cam_T_3_144.jpg,chunks,0.0078,81
2025_Conforme_1_Cam_T_3_145.jpg,chunks,0.0001,3
2025_Conforme_1_Cam_T_3_146.jpg,chataigne,0.0987,984
2025_Conforme_1_Cam_T_3_147.jpg,chataigne,0.0839,574
2025_Conforme_1_Cam_T_3_148.jpg,chataigne,0.1357,7055
2025_Conforme_1_Cam_T_3_149.jpg,chataigne,0.0856,4719
2025_Conforme_1_Cam_T_3_15.jpg,vide,0.0,0
2025_Conforme_1_Cam_T_3_150.jpg,chataigne,0.0356,1800
2025_Conforme_1_Cam_T_3_151.jpg,chunks,0.004,48
2025_Conforme_1_Cam_T_3_152.jpg,chataigne,0.0334,1137
2025_Conforme_1_Cam_T_3_153.jpg,chataigne,0.0033,107
2025_Conforme_1_Cam_T_3_154.jpg,chataigne,0.0124,497
2025_Conforme_1_Cam_T_3_155.jpg,chataigne,0.0919,4506
2025_Conforme_1_Cam_T_3_156.jpg,chataigne,0.1231,4570
2025_Conforme_1_Cam_T_3_157.jpg,chataigne,0.0533,702
2025_Conforme_1_Cam_T_3_158.jpg,chataigne,0.0925,3006
2025_Conforme_1_Cam_T_3_159.jpg,chataigne,0.2551,12612
2025_Conforme_1_Cam_T_3_16.jpg,vide,0.0,0
2025_Conforme_1_Cam_T_3_160.jpg,chataigne,0.2007,12206
2025_Conforme_1_Cam_T_3_161.jpg,multiple,0.0519,1045
