crop_filename,source_video,cam_position,frame_index,timestamp_ms,crop_index,x,y,width,height,original_frame_width,original_frame_height,notes
T_frame_000013_crop_02.jpg,extrait-cam-1-t-conforme.avi,T,13,520.0,2,275,374,176,132,720,576,
T_frame_000040_crop_02.jpg,extrait-cam-1-t-conforme.avi,T,40,1600.0,2,225,264,254,234,720,576,
T_frame_000066_crop_01.jpg,extrait-cam-1-t-conforme.avi,T,66,2640.0,1,214,327,284,187,720,576,
T_frame_000119_crop_01.jpg,extrait-cam-1-t-conforme.avi,T,119,4760.0,1,279,294,224,232,720,576,
T_frame_000146_crop_01.jpg,extrait-cam-1-t-conforme.avi,T,146,5840.0,1,309,283,201,219,720,576,
T_frame_000173_crop_02.jpg,extrait-cam-1-t-conforme.avi,T,173,6920.0,2,272,238,220,236,720,576,
T_frame_000199_crop_01.jpg,extrait-cam-1-t-conforme.avi,T,199,7960.0,1,270,414,183,113,720,576,
T_frame_000226_crop_01.jpg,extrait-cam-1-t-conforme.avi,T,226,9040.0,1,223,356,219,188,720,576,
T_frame_000279_crop_02.jpg,extrait-cam-1-t-conforme.avi,T,279,11160.0,2,310,271,202,236,720,576,
T_frame_000306_crop_01.jpg,extrait-cam-1-t-conforme.avi,T,306,12240.0,1,275,302,170,209,720,576,
T_frame_000333_crop_01.jpg,extrait-cam-1-t-conforme.avi,T,333,13320.0,1,237,262,218,247,720,576,
T_frame_000359_crop_01.jpg,extrait-cam-1-t-conforme.avi,T,359,14360.0,1,282,311,165,189,720,576,
T_frame_000386_crop_01.jpg,extrait-cam-1-t-conforme.avi,T,386,15440.0,1,267,270,241,214,720,576,
T_frame_000413_crop_01.jpg,extrait-cam-1-t-conforme.avi,T,413,16520.0,1,265,274,211,224,720,576,
T_frame_000439_crop_01.jpg,extrait-cam-1-t-conforme.avi,T,439,17560.0,1,219,345,252,176,720,576,
T_frame_000466_crop_01.jpg,extrait-cam-1-t-conforme.avi,T,466,18640.0,1,212,242,319,265,720,576,
T_frame_000492_crop_01.jpg,extrait-cam-1-t-conforme.avi,T,492,19680.0,1,318,352,166,188,720,576,
T_frame_000519_crop_01.jpg,extrait-cam-1-t-conforme.avi,T,519,20760.0,1,287,376,215,176,720,576,
T_frame_000546_crop_01.jpg,extrait-cam-1-t-conforme.avi,T,546,21840.0,1,290,292,217,213,720,576,
T_frame_000572_crop_01.jpg,extrait-cam-1-t-conforme.avi,T,572,22880.0,1,303,16,206,203,720,576,
T_frame_000572_crop_02.jpg,extrait-cam-1-t-conforme.avi,T,572,22880.0,2,217,329,310,225,720,576,
T_frame_000599_crop_01.jpg,extrait-cam-1-t-conforme.avi,T,599,23960.0,1,250,297,225,204,720,576,
T_frame_000626_crop_01.jpg,extrait-cam-1-t-conforme.avi,T,626,25040.0,1,243,336,222,224,720,576,
T_frame_000652_crop_01.jpg,extrait-cam-1-t-conforme.avi,T,652,26080.0,1,255,316,209,239,720,576,
T_frame_000679_crop_01.jpg,extrait-cam-1-t-conforme.avi,T,679,27160.0,1,239,311,208,176,720,576,
T_frame_000706_crop_01.jpg,extrait-cam-1-t-conforme.avi,T,706,28240.0,1,240,277,218,240,720,576,
B_frame_000020_crop_01.jpg,extrait-cam-1-b-conforme.avi,B,20,800.0,1,227,134,274,193,720,576,
B_frame_000046_crop_01.jpg,extrait-cam-1-b-conforme.avi,B,46,1840.0,1,241,108,220,182,720,576,
B_frame_000073_crop_01.jpg,extrait-cam-1-b-conforme.avi,B,73,2920.0,1,231,115,229,204,720,576,
B_frame_000100_crop_01.jpg,extrait-cam-1-b-conforme.avi,B,100,4000.0,1,242,132,244,140,720,576,
B_frame_000126_crop_01.jpg,extrait-cam-1-b-conforme.avi,B,126,5040.0,1,298,96,175,196,720,576,
B_frame_000153_crop_01.jpg,extrait-cam-1-b-conforme.avi,B,153,6120.0,1,260,122,206,227,720,576,
B_frame_000180_crop_01.jpg,extrait-cam-1-b-conforme.avi,B,180,7200.0,1,288,142,175,153,720,576,
B_frame_000206_crop_01.jpg,extrait-cam-1-b-conforme.avi,B,206,8240.0,1,258,109,218,177,720,576,
B_frame_000233_crop_01.jpg,extrait-cam-1-b-conforme.avi,B,233,9320.0,1,309,123,169,242,720,576,
